2026-05-21 23:46:48 | INFO     | pytest | Starting browser: edge
2026-05-21 23:46:49 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 23:46:49 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-21 23:46:52 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 23:46:52 | INFO     | HomePage | Page opened successfully: https://www.99acres.com/
2026-05-21 23:46:52 | INFO     | HomePage | Checking cookie confirmation popup
2026-05-21 23:46:56 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-21 23:46:56 | INFO     | HomePage | Cookie confirmation accepted
2026-05-21 23:46:56 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-21 23:46:56 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\01_homepage_loaded_20260521_234656.png
2026-05-21 23:46:56 | INFO     | HomePage | Opening Commercial tab
2026-05-21 23:46:56 | INFO     | HomePage | Trying Commercial tab locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 23:46:56 | INFO     | HomePage | Commercial tab found using locator: ('xpath', "//div[contains(text(),'Commercial')]")
2026-05-21 23:46:56 | INFO     | HomePage | Scrolled to Commercial tab
2026-05-21 23:46:56 | INFO     | HomePage | Commercial tab opened successfully
2026-05-21 23:46:56 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\02_commercial_tab_opened_20260521_234656.png
2026-05-21 23:46:56 | INFO     | CommercialPage | Searching commercial property for location: Noida
2026-05-21 23:46:57 | INFO     | CommercialPage | Commercial search input found
2026-05-21 23:46:57 | INFO     | CommercialPage | Cleared commercial search input
2026-05-21 23:46:57 | INFO     | CommercialPage | Entered location: Noida
2026-05-21 23:46:58 | INFO     | CommercialPage | Pressed Enter to trigger commercial search
2026-05-21 23:46:58 | INFO     | CommercialPage | Commercial search results page loaded
2026-05-21 23:47:03 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\03_commercial_search_results_20260521_234658.png
2026-05-21 23:47:03 | INFO     | CommercialPage | Waiting for commercial results to load
2026-05-21 23:47:03 | INFO     | CommercialPage | Checking result locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-21 23:47:04 | INFO     | CommercialPage | Commercial results loaded using locator: ('xpath', "//*[contains(@class,'srpTuple')]")
2026-05-21 23:47:04 | INFO     | PropertyPage | PropertyPage initialized
2026-05-21 23:47:04 | INFO     | PropertyPage | Trying to open fixed property: Ivory County
2026-05-21 23:47:04 | INFO     | PropertyPage | Finding property link attempt: 1
2026-05-21 23:47:04 | INFO     | PropertyPage | Property URL found: https://www.99acres.com/ivory-county-sector-115-noida-npxid-r400436
2026-05-21 23:47:05 | INFO     | PropertyPage | Property child page opened successfully
2026-05-21 23:47:05 | INFO     | property | Screenshot captured: C:\Capstone_99acres\newproject\screenshots\04_property_child_page_opened_20260521_234705.png
2026-05-21 23:47:06 | INFO     | PropertyPage | Property page verification result: True
2026-05-21 23:47:06 | INFO     | property | Fixed property child page opened successfully
